username,text,likes
nicecarvalho1954,Sdds eterna a dor que nunca passa todos nós sentimos essa dor pelo anjinho 😢,
quezado77,😢😢,
luisasazevedo,Não consigo mensurar sua dor. Que Deus te console sempre e te dê a esperança do reencontro na eternidade! 🙏❤,
cristiane_silva2640,"Toda mãe morreu nessa sua perda...a dor foi imensa ,sei que a sua foi maior .mas só de ver esse vídeo eu relembro do momento....nessa epoca eu não era mãe ainda, mas eu era filha irmã sobrinha prima ..mas enfim sua filha sua perda nos compartilhamos até hoje...força ana",
mila_paaiva,Zerou a trend 😢,
fabischimidt2020,"Ela te abraça todos os dias, as pessoas que amamos nunca irão morrer dentro de nós, perdi meu paizinho em Julho de 2024, sinto ele vivo dentro de mim🥲",
santosrosana685,❤️❤️😭,
ivetezimolong,😭💔😭💔,
annaany34,😢😢,
monteiro4597,Linda a isabela❤️,
andryhelleof,A Isabela sempre será nosso querido anjinho 😇,
layscristine11,Pequena Isabela 😭💔😍 não a conheci mas acompanhei toda essa situação de dor e muita tristeza 🥺💔 uma criança linda que só queria viver e ser feliz ao lado da mãe 😍❤️ 🥺amo Isabela e Ana Caroline Mesmo 🌸🥰,
iaramits,😢,
nilzarcosta,"A Isabela está no céu, onde está também a minha mãe. A saudade do abraço da minha mãe é imensa, mas acreditamos na eternidade e que um dia esse abraço será possível novamente, lá onde não existirá mais dor. Ana e família receba o meu abraço que Deus abençoe e cuide de vcs todos os dias, para que vocês continuem caminhando com fé, força e esperança.",
jardim713,😭😭😭😭😭,
brunaaalopess,Me corta o coração de ver esta imagem!!! Inimaginável o que você senti todos os dias 😭,
claudia.lepre.18,Que abraço gostoso!🥰,
guiespim,Foi feito por IA ? Ficou perfeitamente incrível 😭,
gloriaalmeida48,Eterna Isa❤️,
keane.ellite,💙💙😞😞😔🌟,
ferassis__,😢😢😢😢💔💔💔💔💔,
lucileidelimas,😭😭😭❤️,
marlyferreira.cantora,Lindas 😭💔,
fani_bastos,"Meu Deus chorei demais 😭😭😭 🥀 a saudade dela bateu forte no meu coração! Ela nem era minha filha ,imagino a dor da mãe 😭💔",
neiderufino83,O maizinha que Deus te der força pra suportar essa dor que nunca vai passar 😢😢😢😢😢😢😢,
marcos_paulo_73,Mãe 🥺,
neiderufino83,"Tão linda,e um futuro pela frente e se foi",
neiderufino83,"Era pra eles apodrecer na cadeia,apesar de não trazer ela de voltar.",
gercy.sillva,😭sinto muito deve ser um dor sem fim perde um filho 🥺,
luciafatimalima,SAUDADE 🥰,
andreia.dallabrida,"Não existem palavras…
🥀🌟❤️‍🩹
O melhor lugar do mundo, é dentro do abraço de um filho.",
emilylopesss_,❤️❤️,
helensilva9296,"Vídeo perfeito, um sentimento de amor, dor e angústia, ela ia ser uma menina muito. 🥺",
debora_veraldi,❤️❤️❤️,
amanda22matias,🥺🥺,
simonnesousaa,"Quanto amor… tanto, é tanto ♥️",
viih_jacobs_,Com quantos anos ela faleceu??,
toinha.souza_1991,Viva jesus é Isabella saudades eterna 🤍👑🙌🏽😢,
liliasiqueira2017,Sua filha parecia um anjo ela tinha uma luz o mãezinha JESUS possa ti dar forças um dia vcs vão se encontra no céu busca o evangelho de Cristo ❤️🔥,
nathiponciano,❤️🌹,
rosedemelopereira,💔,
_kariine.m,💔😢,
ajudeoevandro,💔😢,
ajudeoevandro,Dói a alma ver esse vídeo 😢,
eugabrielaamorim26,Amor q nunca vai acabar 🥺❤️,
eugabrielaamorim26,Pra sempre no meu coração você nunca vai deixar de existir ⭐️⭐️⭐️,
_elypereiras,🥺💔,
renataoliveiradefarias,😢😢😢😢,
carolinaaugustadematos,"Nossa ainda dói 😢 só em pensar no que ela passou 😭
No que você e sua família sentiu, e tão terrível que me sinto mau só em pensar.😢
Tadinha tão linda, tão inocente😢
Que Deus abençoe você e sua família 🙏🏾💙💖💙💖",
elianedemorais45,😭😭😭😭,
almirqueiroz,"Quase n consigo assistir esse pequeno vídeo. Sou pai de uma princesa tb, e eu n consigo imaginar a dor q dá em perder alguém a quem tanto amamos.....🥺",
suzane.duarte2712,"Eu chego choro 😭 amo tanto meus filhos, é um amor que dói, não sei porque mas dói o coração, queria ser uma mãe menos preocupada, sinto que protejo demais e tenho medo de estragar eles com meu excesso de proteção mas é que eu amo demais sem limites 🥺🥺🥺❤️❤️",
jessycasilvai,🥺❤️,
gerlandiarapouso_camuflagem,😭😭😭,
zeinelima1,É verdade a saudade é muito grande e inesquecível mais o nosso Deus te confortarar,
taniamaria9238,❤️❤️,
sarah_salomao_,😢💔,
pattysouzaa2,Meu Deus@ Nem consigo imaginar a sua dor💔,
pattysouzaa2,Olhando esse abraço dá até um nó na garganta Meu Deus q dor,
alle_cabrall,💔,
adv.robertadanielecabral,"No fundo todas nós somos mães da Isabela , pq entendemos da sua dor 😭",
auzenir.freire,😢💔❤️❤️❤️🙌,
thaizpamorim,"Olho essa imagem e morro de medo, vivo há 8 anos lutando pela guarda total da minha filha. Meu ex marido me persegue, me ameça e usa ela pra me ferir. A justiça precisa ser mais rápida, não quero ser mais uma com um vídeo de saudade, o ser a saudade dela. 🥺🥺🥺",
emillygatinha16,Era pra quele xerolaine m0rre3,
juliana_caravello,"Dói até hoje ,só de lembrar 💔",
juliana_caravello,Da vontade de chorar 🥺🥺,
tairines.almeida,Aii 😢😢😢,
solangegoncalves.costa,😭,
julia.vlourenco,😢😢😢😢😢😢😢😢😢😢😢😢😢😢,
ercilia.nunesdias,😢Sem palavras 😢😢,
mariza.souza53,"Eu sinto saudade desse anjo sem ao menos ter conhecido,ainda é doloroso lembrar de tudo que aconteceu com ela💔",
leiteluci,"É um sentimento de dor, pq tbm sou mãe e hoje tenho um filho de 6 anos, e não consigo imaginar a minha vida sem ele.",
rute.duarte.526,Muito triste!!! vocês duas tão lindas juntas 😭😭😭😭😭,
aniger_catarina,💔,
relbert_chagas,😭😭😭😭💔💔💔,
ne_franca,E saber q aqueles li xos estão de ferias 45 dias no luxo!! Eu sinto no joooo real disso,
roseane_wl,😭😭😢,
edelciocesar_,Isabela É Filha Do Brasil Filha de Todos Nós que Somos Pais e Temos Sentimentos Deus Abençoe @anacarolinaoliveira_oficial Que Deus Continue Te Abençoando Imensamente 🙌🙌🙌🙌🙌🙌,
sabrina_catarina_teodora,💔💔💔😢😢😢,
izabellimadasilva37,❤️,
cleusabragade,Nunca esqueci esse crime 😢,
elizabethdelmadossantos,🥺🥺🥺🥺🥺,
lindalvavitoria._,😭😭😭,
cleciamedeiross,😢😢,
bellasunhas_robertapassagem,"Meu Deus, dói demais ver um vídeo como esse, meu Deus, só em pensar que belinha poderia estar entre nós, com sua família, com sua mãezinha, só Deus mesmo, que nossa Senhor Jesus Cristo, continue te concedendo forças para vc continuar ajudando muitas mães e país que passam por essa situação também 💔😢",
venegasmarcia88,😭,
alinesantana39791,😭 Deus continue dando forças 🙌,
lucileia_dossantos01,😭😭,
limamaria365,Era toa linda 💔😭,
elanusasilva,❤️❤️,
niraolivei,Que Deus te der forças pra caminhar ❤️,
camila_borgonovi,Quando ouço o nome de Isabela logo me lembro dela 💔💔💔,
claudia_anceles_oficial,❤️,
banhoetosavipdog,Meu Deus imensurável sua dor! 😭,
marli7274,😭😭😭😭💔 sem palavras,
raqueldasilva_barreto,A dor da mae nunca acabar deus controle coracao da mae continuar sempre lembrando da sua libda filha izabella vivera para sempre em nosso coracao.mais deus vai dar forca para voce carol..,
jessyca.karoline,Não consigo imaginar tamanha dor 💔🥺,
sicabral,"Vê a imagem de Isabela dói demais, como o pai e capaz com madrasta fazerem isso com esse anjo. Eles tem que pagar para o resto da vida",
dejesuscristiane257,💔😭,
donacakes01,💔Ela vive em todos nós 🤗,
vanialacerda2004,O Brasil chorou seu luto 😭💔,
_mariadellourdes,💔❤️😭,
estergomes.gomes,"Tão lindas, ah q saudades vc sente desse abraço 😢",
maria_l582,A mãe é você mas a dor também é nossa 💔meu coração sangra de ver esta sena😭😢💔,
biah_star24,💔Me foi só de ver😭💔🙌,
mariinhaalvim,Quando eu vejo a foto dela dói a minha alma 😢,
helenareis94,Meu De não tenho palavras 😭💔,
josehenrique.belgo,AS MAES SAO ETERNAS .HEY AMIGA. SAUDADES DA AURORA DA VIDA ..,
flaviojuniorbiersack,😢😢😢😢,
luciene.barbosa29,❤️😢😢😢,
coutinhosoniamariarodrigues,E quem matou..........,
ritamagalhaesl,😭,
gracinhafranca03,Eu nunca esqueci parece que foi hoje,
gracinhafranca03,Aquele mostro e aquela mostra têm que morfa,
gracinhafranca03,Na cadeia,
fernada_cavalheiro,😭😭😭😭😭,
lucia.combatente2016,Oh que Jesus conforte seu ❤️,
lucia.combatente2016,😭,
lucianaizelli,😭😭😭😭,
wandapmellogmail.com2,Lindas😍😍,
caupda,😭 Dói em todos nós! 🙏🏻,
natali_martins.9,😢😭,
fabialbuquerque2,💔😭,
_negraees,Quando vejo foto ou vídeo da Isabela me da uma tristeza era pra tá uma moça linda imagino a falta q faz pra mãe a saudade deve sentir 😢❤️🙌,
lilianazanini,Me dá vontade de chorar,
m.atilde_m,❤️,
denise.escobar.7106,💔,
carla_ferreiragodoy,"Deus sempre contigo , dando paz ao seu coração e calma pra sua alma ❤️",
ellenaraujo7826,😭🥺,
ellenaraujo7826,💔😢🥺,
laladapper,Corta na alma😭🥺,
mariasilvanadomingos,Carol que Deus continue te ilumine com muita sabedoria e saúde ❤️,
cristiane.amancio12,😭😭😭😭😭,
sandrapreisg,💔💔,
mariaeurivan,😢😢,
soniatagliani,"Foi trágico , cruel",
mmariaaparecidaaa,😭💔,
solangemspazos,💔💔💔💔💔💔😭😭😭😭😭💔💔💔💔💔💔💔💔💔💔,
marcianvll,😢🙌,
gonzagapriscylla,😢💔,
analice._azevedo,🥺,
mariadilmacerqueira,Deus te dê sabedoria pra vencer,
henrichsaleteh,"Nossaaaa eu sinto uma dor tão grande vendo esses vídeos ,parece um pedacinho da gente essa isabela, imagina a dor dessa mãe 💔",
celiazirpoli,😭,
alinearura,💔😢,
dorinhagouvea,"Sentir aqui a riqueza desse abraço , q vídeo lindo , cheio d amor ternura , acolhimento , esperança , ,um sentimento eterno chamado amor , luz , e é isso q a Isabela Nardoni é luz , não só na vida d quem a conheceu como na nossa tbm 🙏🙏🙏❤️❤️❤️❤️❤️❤️",
crechetiakaty,Isabela sempre lembrada💔,
adirgomes.silva,Sinta agora um anjo te abraçando minha querida 😭♥️🌟,
henrizinx7.krl,😭😭😭,
erinaldo7400,😢,
mirvaniafrodrigues,"😭😭😭😭😭😭dói muito saber que esse anjinho já n está aqui, 💔💔",
celiarguerreiro,😢,
schillingdossantos,😭💔,
valeriaalvesmartin,😢,
ivonesiqueira1010,Esse abraço nuca vai sim acabou e um abraço pra o resto da vida,
sheila_c___,"Me dói até hoje ,e imagina vc sendo Mãe😢😢💔",
vivitomassi,Penso que a dor maior do mundo. Eterno,
thabatapolyana_,😭,
ivonechies,Ela está sempre te protegendo ❤️❤️❤️❤️❤️❤️❤️,
andreabarros572,🥺,
botelhomarilia,😢😢😢😢😢,
cintiamaria8575,Dói muito só de ver esse rostinho lindo 😢😭,
markelanesousadelmondes,😭😭😭💔,
anderson.vieira.543,Como doi amamos vc,
menezessantos0,Tão linda o céu tá em festa Jesus quanta saudade e dor no ❤️ dessa mãe misericórdia,
afernandacandidop,É de cortar o coração 🥺,
helena.943674,😢😭💔 muito saudade 😞😞😞,
marlucia.silvas,❤️❤️❤️,
luceliaalvim,😭❤️,
elo.silveiras,😢😢😢😢❤️,
josefa.olivalmeida,💔,
prizucco,🥺,
joicielle_bonfim,"Como que alguém pode ser tão covarde com uma criança,quem era pra defender foi tão cruel 😞",
morangvan,Não lembrei,
vilma_liliane,😍😍😍🥺😢,
thiellygaia,Não consigo ver nada da Isabella sem meu peito apertar e as lágrimas caírem 😢,
iara.sa23,Linda esse anjinho,
iara.sa23,Pai vc vai pagar nos inferno o que vc fez.,
iara.sa23,Vc dai ter a lei do Retorno,
cida123615,PRA VC QUE ESTÁ LENDO ESTA MENSAGEM 💓 DEUS TE AMA MUITO 💓 E JAMAIS DESISTIRÁ DE VC 💓 NA SUA PALAVRA DIZ NO LIVRO DE JOÃO CAPÍTULO 3 E VERSÍCULO 16 QUE DEUS AMOU O MUNDO DE TAL MANEIRA QUE DEU SEU ÚNICO FILHO JESUS PARA TODO AQUELE QUE NELE CRER NÃO PEREÇA MAIS TENHA A VIDA ETERNA 💓,
s.priscilaribeiro,😭😭😭😭😭💔💔💔,
s.priscilaribeiro,💔💔💔,
cris.jmarques,😪💔,
katia.regina.35977897,🥺🥺💔,
lopes.suzane7739,Que tristeza 😭💔,
silenesbezerra,😢,
jhoowheey,"' eu choro tanto com você, se fechar os olhos lembro da época certinho 😭",
daymemorias,😢😢😢,
mariaedileuza7554,😢,
katia.roque.7796,💔🥺 que lindas sdd Isabela,
jmelaine55,Meu Deus pq eu achei esse perfil 💔😭😭 dói muito ver isso,
studiorayanneareb,🥺🥺🥺,
beatriz_franques,😢,
mikaelly_teixeira_de_lima,💔😭😢😢🥺💔,
andressamaia344,😢😢,
thacastro24,Tenho a minha Isa c a mesma idade q ela teria hj me dói tanto ver essa mãe sofrer 😢,
talwanywendy,Devia existir leis mais rígidas a cerca da guarda compartilhada em crianças menores de 10 anos ! Ninguém vai amar mais nosso filhos que nós mães! É difícil entregar os filhos em mãos desconhecidas💔😢,
thaysa.n.aquino,😢😢😢😢😢😢😢😢,
distribuidorapescados,Dói tanto ver foto delas junto😢🥺 agente que é mãe não consegue mensura essa dor,
lausianeramires_,Aqueles dois monstros era para apodrecer na cadeia,
rizelia_,😢,
claudiarobertapsi,😢💔❤️,
santosmgraca40,O DEUS 😢😢😢,
erikacgoma,💔,
dra.vanessacosta,Essa é uma dor imensurável. Só Deus tem o poder de confortar.,
ana_oliveirapsi87,😢,
nunalins,😭💔,
giannateotoniogoncalves,@profa_telma_maria,
mariaemiliakretzer,😂,
mauroclaudio98,Ela mora agora com nosso Senhor,
jardelia_sousa24,😢,
eliane_13costa,Ela era muito bela mesmo 😍💔,
web.dark83,Como pode um pai matar sua filha,
sih1996almeida,Eu queria 1 gotinha da força que tem essa mãe! 😭,
vidrinhosdamarly,😢,
solangecardosolemos_,Muito triste que aconteceu izabele,
carlasilvazevola,💔😢,
carol_lima_2709,😢 dói só de ver essa cena Jesus !!🙌,
alineteixeira513,"Não tem como não chorar quando lembro de tudo,um nó na garganta e quando vejo o rostinho tão lindo 💔",
dorislopespim,😭💔,
aurinha4,😢😢,
nanatavares1970,Eita 😢,
cassianeolive_ira25,Essa imagem doeu como se ela fosse minha 😢,
deborasouza3123,😢💔,
_cris.santoss,🥹🥹,
alinemeccab,"Sem palavras, esse abraço! 🥺",
fabianeportela6,😢😢,
keniafonseca39,Chorei😢 Eu nunca vou esquecer dessa tragédia!,
ik.japanonline,Que dor 💔😢,
_saionaraferreira,😢,
doniazevedoamorim,Tão linda ela porq ele feis isso com ela o próprio pai ainda não entendo oq levou ela fazer isso com a filha 😢,
ingritylimaofc,😢😢😢😢😢😢,
renizematos,"Eu chorando as 8h40 da manhã, quando aconteceu eu tinha 10 anos, e acompanhava com meus pais o jornal, na época eu chorei junto ainda criança, e hoje sou mãe e continuo chorando, é uma ferida que nunca irá cicatrizar em todos nós",
luhribeiro8428,😢😢😢,
l_o_pontes,"Tantas crianças que perderam suas vidas ,justo ao lado de pessoas que eram pra garantir sua segurança!!! Oque alivia é saber que existe vida eterna ao lado de Deus e um dia avera um abraço tão apertado e não terá mais separação!!! 🙌",
anec85019,😭,
eu_frannsoares,Essa dor não e só sua se dói em mim tenho a certeza que muitas pessoas também 🌟 eterna isa,
111_aninha,Doi💔,
joelsapaz,😢,
jaclulusol,😢💔,
zineidesouza24,Tão linda . Anjo lindo,
medeboracarvalho,😢💔,
janetemarques167,😢😢😢,
higorayalla,😢😢😢,
camposannaclaradaconceicao,😢😢😢😢😢💔💔💔💔💔,
mariaclaudia6998,😢😢😢,
mariaclaudia6998,💔💔,
mariaclaudia6998,😍😍😍,
katiana.moreira.3,😢,
annaferrodrigues,"N consigo nem imagimar essa saudade, essa dor.",
damares_dede3k,😢😢sdes eterna Isabela,
creuselimariaa,"Nunca vou esquecer dela, me marcou muito.😢",
maria.clemencia.520125,😢,
douradocarina,😢😢😢,
rosianesousaasoares,😢😢😢😢,
dreia_lc,😢,
daniele.acf,😢,
rei_ferreira82,Isabella sempre será lembrada por nós 😢😢😢😢😢,
antoniavaldeneideferreira,É um amor perfeito.,
thainayaragabriely,😢😢😢,
vanessa_santoh,Oq aconteceu com ela😢😢,
patatabr,😢,
karlaalmeida892,💔,
naymalanne,"😭😭eu não tenho estrutura pra ver esse tipo de cena,meu coração fica completamente partido💔",
rosangela_nascimento_,😢,
ala_meliss,😢😢😢😢😢,
bellzinhaa_2,😢😢,
estelamaziaadv,😢💔,
s.i.n.a.r.aw,😢💔,
clamamulher,😢😢😢😢😢,
anaclaudia.oliveirak,😢💔,
dilma_mineira,💔,
sz_viviane,😢😢,
lorrainnemoraes,💔💔,
miaumiau_caralh0,😢😢😢😢😢,
mayarabeatrizpcxg,💔,
elianefreitas1344,😢😢😢,
roselesalzano,😍😍😍,
ohakelly,A Isabella era tão linda 😍😍😍😍,
maariachado,😢😢😢❤️,
adrielle2292,😢😢😢😢,
betania.comunidade,Nossa menina nunca é de esquecer essa grande tristeza,
ines_8s,Até eu sinto saudade dela 😢,
marisa.walker16,Isabella deixou um legado e sua Mãe @anacarolinaoliveira_oficial cumpre arduamente ❤️🙌👏👏,
terezinhacampos29,😢😢,
ranildinha,😢😢😢😢😢😢😢😢😢,
selmacalegari_,❤️‍🩹,
_tatianne__,😢😢😢😢,
mara_joliveira,😢😢😢😢nem imagina a dor 😢😢 meu Deus 😢😢,
luciana.valadares2,Eu sinto a sua dor mãezinha...o Brasil e o mundo choram por todas as mães que perderam seus filhos.,
samara_raupp_,Dói na alma da gente 😢❤️,
fatimasobral06,"Ah @anacarolinaoliveira_oficial , eu também sinto tanta saudade do abraço da minha filha, era o abraço mais gostoso desse mundo, ela abraçava com tanto AMOR, e nesse abraço exalava o seu perfume 😭😭😭😭😭",
gisellelima397,"Meu Deus, choro quando lembro dessa princesa linda 😢",
marielle_faria,❤️,
edineialira1422020,Só o senhor Jesus Cristo..p da força e consolar essa mãe viu..,
lu_barros_macedo,Uma anjinha que brilha no ceu😍😍😍,
lu_barros_macedo,Doi demais 💔💔💔💔,
edineialira1422020,Sinto da minha mãe e do meu pai.,
daiesantanna,💔,
valeryanmello,😭,
simone.pinheiro.355,Gente que dor 💔,
sorayasilva00,😢😢,
mary_acosta98,😢😢💔,
luanathayla1952,Não tenho palavras parece que ela levou com a partida dela um pedacinho de nós 🥺,
mariilia_batiista,nossa qe video😢💔,
taizabaptista,❤️😢,
neia_beppe,🙌💕🙌,
deottim,😢😢 A pior saudades de todas.,
liviamarianogueira,Mãe Deus tá cuidando de vc,
alicesantoss613,😢🥺,
dicas_by_deia,😢😢😢😢😢😢😢😢💔,
carmemvanusa,Este acontecimento foi marcante demais 😢💔,
ivone_castrogyn,"Lindo como você eternizou a Isa! Você consegue trazê-la até nós, espalhá-la por todos os lugares, até onde a rede puder alcançar...ela está por todos os lugares. A Isa está feliz, sorriso meigo, corre e dá gargalhadas com seus cabelinhos esvoaçantes, abrindo os braços em busca de mais um abraço. É assim que eu vejo a sua Isa, e nossa também! Ela desapareceu naquele dia, mas se multiplicou em nossos corações, aqui e muito mais além. Isa!, Isa! Isa!",
manuellybrum,😢,
lucianalima961,🥺🥺🥺🥺🥺 estrelinha Isabella,
desi.tra,😭,
soniareginamendoncados,😭❤️,
claudiasantos9028,😢😢,
luciabellinato,😍💔🙌,
joyce.vicky,Meu esposo colocou o nome de sua filha de Isabelly em homenagem a essa princesa. 😢,
marianoanasilvia,😭😭💔💔meu coração despedaçado..tenho uma princesa netinha de 6 anos,
maramomesso,Eu posso viver 200 anos e nunca me esquecerei da Isabella 🙇🏼‍♀️🙏🏼🕊️,
tanainacastro,😭,
marianoanasilvia,"Abraço quentinho, cheio de ternura e amor 😭😭💔",
ednaamello,💔😭😭😭,
mesquita_dorinha,Eu acho que todo Brasil te abraça nesse momento 💔😢,
mar.cinhaso,🥺😢😭❤️,
vilmacalvinhomassoterapeuta,Ah mãezinha essa saudades sempre irá existir as vezes menos ..mas estará ali..sinta o nosso abraço em você..nada se compara mas estamos contigo sempre💔,
ste.setnop,😢,
marianoanasilvia,Assisto 300x💔😭😭,
samaracunha19,😢😢😢💔,
lucianaesimba,O abraço doce e acolhedor da minha mãezinha. 🥺💔,
esantos279,😭💔,
milenakellen1_,🥺🥺🥺,
claudiamanzolillo,😢,
va_arena,😭,
fran_regia_sousa,😢😢💔,
mar_sjpsilva,Também morro de saudades do abraço do meu filho 😭😭,
jullya.cintra,🥺,
paulinhamrosa,😍,
solangerobeliamelo,💔,
briziaa_0032,😭😭🙌amém,
nilsafraissat,Vocês duas eram tão lindas juntas transmitia tanto amor❤️,
ma.frutas.br,❤️❤️❤️💔🥺,
denise.jesus.5,Como pode uma dor doer tão forte a ponto de que eu possa sentir 💔🥺,
tatianaalbuquerque202,💔,
dai_ximenes,😭,
sheilabento1234,Seria uma moça lindaa😢😢,
priscilapraiabaliero,😢,
juliiacampos,A saudade de um país inteiro 😢❤️,
nandacambraia,Sem palavras 💔💔💔,
tatizps23,❤️,
iolandacelestinada,Uma dor grande 😢😢,
barbaracostah_1905,😭💔😢,
andre_prado_miguel,💔 lindas 🙌 votei em vc 👏🏻,
magna.ds,❤️❤️❤️❤️❤️,
juu.md.brasil,"Meu Deus, que dor imensa. Hj vendo com os olhos e sentimentos de uma mãe, na época ainda não tinha minhas meninas, hoje ver assim, me dói mais... E tenho uma Isabela, é minha caçula, tem 6 anos.",
twin_towers_wtc_,❤️😍🙏🏻,
fatimaclariceflores,Que lokuraaaaa. Meu Deus criador do Céu e da terra. Vídeo mais triste acho que não há.😭😭,
hellem_cristina_mendes,"Gente . Ja faz um tempo q isso tudo aconteceu , mas a sensaçao hj e a mesma . Parece q foi ontem . E o sentimento e o mesmo ate hj . Nunca esqueço desse dia🥺🥺🥺🥺🥺",
gisllaine2024s2,😭😢,
joelmasampaio3415,😢💔😭,
edilzaapalheta,❤️❤️❤️😢,
liz_modas_oficiial,😢,
vanessa.motta.54772,Que lindo!❤️,
vilza_joana,😭,
vania_morais.rocha,🥹🥹🙌🏻 👼🏻🤍,
vanessa.motta.54772,Todos nós amamos essa linda menina!❤️,
janainacosta_451,"Doe em mim como mãe , que Deus cuide de nossas crianças",
ciceracruz_ak,❤️❤️❤️,
renni_fernandes,🥺❤️,
josy_carneiro2018,🥺🥺🥺🥺💔💔💔,
adelia.mota.7,😢,
maelle.ssantos,Só Deus pra curar... 😢,
araujotatianesilva,😢😍,
claudiazucchetto_,😭,
solangedocantofleith,🥺,
fabiacotrimdavid,💕✨,
claudiamartinelli25,"Nossaaaa dói demaisss.. tão linda, tão meiga!❤️",
alessandragomes1762,"Gente dói ver isso... Elas eram puro amor 😢, injusto o que separou mãe e filha, e o @$$@ssInO estar tendo regalias é revoltante! Muita força @anacarolinaoliveira_oficial ❤️",
bruna_moraismk,Mds😢,
bellucciconceicao,😭😭,
124pppppppppppp,😢,
anacmazzorani,😭😢💔😢😭💔,
lanaolivv1,💔,
drika______ws,😍😭💔,
leladanttas,O nó na garganta é inevitável 🥺,
annepb__,😢😢😢😢,
gladis_monteiro_zacchi,Essa mãe é incrível ❤️ parabéns pôr nunca deixar sua filhinha cair no esquecimento.,
lilamonteiro373,Meu coração dói até hj.,
danilorocha420,❤️❤️❤️❤️❤️❤️❤️,
marnimaciel,😭😭😭😭,
dressajeu,💔😭,
selmamaria5358,😢❤️,
ketlyn_suellen22,❤️❤️,
vivianeataidenascimento,😭💔,
gabialbim,❤️❤️❤️❤️,
gabialbim,"Nunca sofri tanto por uma pessoa que não fosse próxima a mim, dói até hoje🥺",
mary4h_byanc4_zf,❤️❤️❤️❤️❤️,
jad1368te,Que linda 😢😢💔,
mariaisabellyfe13,Eu sei que a Isabela vai fazer muito falta🥺,
raquelvas,😢❤️,
fernandaritita,ISABELLA 🫶🏼,
vera49mk,💔😢😢,
renatinha_braga_dodo,❤️❤️😢,
adrianaalvesda7167,Linda demais saudade ❤️,
hellen.atricia,É de doer o coração 😢😢😢😢😢,
nunes_juli,😢😢,
deborada6356,😍💔❤️❤️,
titininhacris,😢🥺,
alinebarbutti,😢😭💔,
adrianalaurinha34,🥺🥺💔,
edgar_l_borges,"Oi ,um dia Jesus Cristo enxugará a vossa lágrimas e você abraçará a sua filha para sempre!",
luluchaga,💔💔💔,
risonetefrancisca,era linda igual a mãe Ana Carolina,
marialaerteda,"Ana sei o quanto é difícil a gente devolver o filho para Deus ,por uma doença como no meu caso , meu filho Fábio teve um câncer , saudades é imensa , imagino a dor , forma que foi. Só Deus pode te confortar! Que ela esteja intercedendo por vc 🙌 Deus abençoe dê muita força e paz no coração ❤️",
alice2155362,Não me conformo até hoje um anjinho indefeso Isabela amamos vc Deus abençoe estta mãe que só Deus pra mantê-la firme 🙏❤️,
estefani.alvesrangel,😔😢,
julianne.araujo.1485,😍,
mforshaid,❤️❤️❤️,
vitoryabloom,🥺,
camilamilamuller,As,
dalcimagalhaesbandeira,😭😭,
gisellesantos339,❤️❤️❤️,
nandha.vida,😢😢,
adriana_camargo24,Grande amor da nossa vida ❤️. Senhor que nos fortalece todos os dias.,
annysophya_2020,Lindas 😍,
monica.s.alvess,❤️❤️❤️,
marcia.rezende.73,❤️🙌🥺,
marcelodanielgomesfernandes,😭😭😭😢🥺🥺🥺,
ursula140581,Amamos vc em Cristo Jesus! 🙏🏻 A sua saudade é a nossa saudade! 🩷,
rosana_rosyy,💔🫂🫂🫂🙏🏻,
marthacastro_bl,Como essa menina era linda 😢💔,
anacrisfries,Isabela esta no coração de todas as mães do Brasil. ❤️,
araujflavian____,Só quem passa sabe 💔 sinta-se abraçada por todas as mães ❤️🙌.,
monikinharodrigues1977,"😭😭Sua Dor é Nossa Dor😭😭,Quando uma chora Todas Choram 💔😭😭😭😭",
thayene_ramalho,😢😢,
alice_brollo,🥺🥺,
cotrimivoneide,❤️❤️❤️❤️❤️❤️😭,
nubiamochi,😢😢💔,
claracostaoliv,🫂🫂😪🌻🙏,
thamaraangelas,😢💔💔,
vivalavida1969,🥹,
fairuzegomes15,O meu Deus 😢😢😢😢😢😢😢😢...... Coração choraaaaa,
mioliv3ira,🥺🥺🥺🥺💔,
chayane_47,😢😢,
avelten75,A gente sente essa dor e a saudade desse abraço 💔,
selma.tobias.58,🥺❤️,
freireiararegina,😢😢😢😢😢,
deborafilippie,🥺,
rosa_monteiro_mariano,💔Só Deus,
leonira_reis,😢💔❤️🥺,
_freitasdai,🥺,
jenifferribeiro57,😭💔,
shilenz,Que dor 💔,
cryys_andrade,Aí meu Deus como eu choro 😭😭😭😭,
grece_oliveira_melo_jw,💔💔,
peresilvaabreu,Do meu menino que tb perdi😭😭,
mariadapenha.pereiradequeiroz,"😭😭😭 Deus me livre, qualquer mãe de uma situação dessa, a Isa e MT linda ... essa mãezinha deve sofrer mt...",
atriz_meire_moraes,😭😭😭😭😭😭😭😭,
karenbocks,🥺🥺,
cajohnsonn,🥺,
luziah_cristinaoliboni,😢meus sinceros e eternos sentimentos ❤️,
tatilima25,Essas postagens dela me doem sempre !💔,
bello_spiller,"Um anjo lindo que passou por aqui, inimaginável essa dor. Teu anjo te abraça todos os dias. 😇 😇",
christine_marinho,😢💔,
moralles.katia22,"Tão meiga, um anjo ❤️🙌",
vanianorikotashirosantos,"Acompanhei o caso da pequena Isabela e sinto muito pela sua perda mãezinha , que abraço gostoso da sua primogênita um anjinho 😇❤️",
alexandra35ale,😢,
